x_value,total_1,total_2
0,1000,1000
1,1006,1004
2,1007,1002
3,1011,998
4,1012,1001
5,1017,997
6,1021,995
7,1015,996
8,1018,995
9,1014,992
10,1008,993
11,1009,996
12,1015,996
13,1010,997
14,1013,1000
15,1011,1000
16,1006,998
17,1001,996
18,1002,996
19,1003,993
20,999,997
21,1004,1001
22,998,1001
23,997,999
24,996,1002
25,995,1003
26,1001,1001
27,995,998
28,1003,998
29,1011,997
30,1011,994
31,1007,995
32,1015,1001
33,1013,1004
34,1015,1001
35,1023,1000
36,1026,1002
37,1026,997
38,1028,1000
39,1035,1002
40,1030,1003
41,1030,999
42,1028,1001
43,1036,1006
44,1041,1005
45,1045,1011
46,1053,1010
47,1052,1010
48,1047,1010
49,1047,1015
50,1041,1011
51,1038,1011
52,1037,1017
53,1034,1017
54,1039,1019
55,1042,1015
56,1044,1019
57,1038,1025
58,1044,1028
59,1042,1023
60,1039,1029
61,1035,1027
62,1030,1025
63,1036,1028
64,1032,1026
65,1037,1031
66,1032,1034
67,1028,1029
68,1035,1028
69,1035,1023
70,1032,1027
71,1036,1033
72,1042,1031
73,1038,1033
74,1039,1031
75,1043,1026
76,1038,1028
77,1037,1033
78,1043,1029
79,1048,1031
80,1055,1033
81,1051,1033
82,1048,1033
83,1045,1039
84,1049,1034
85,1054,1033
86,1054,1031
87,1059,1035
88,1054,1038
89,1056,1034
90,1062,1033
91,1064,1030
92,1068,1028
93,1075,1025
94,1081,1030
95,1078,1027
96,1081,1025
97,1085,1027
98,1082,1025
99,1079,1031
100,1075,1036
101,1080,1036
102,1080,1035
103,1087,1033
104,1093,1036
105,1088,1042
106,1095,1037
107,1099,1034
108,1099,1033
109,1103,1039
110,1107,1045
111,1109,1051
112,1115,1047
113,1119,1042
114,1114,1038
115,1122,1039
116,1130,1034
117,1137,1035
118,1142,1037
119,1144,1033
120,1141,1030
121,1148,1030
122,1155,1035
123,1154,1031
124,1153,1026
125,1148,1025
126,1146,1023
127,1141,1019
128,1145,1015
129,1140,1014
130,1137,1013
131,1135,1019
132,1134,1024
133,1136,1022
134,1131,1020
135,1128,1019
136,1128,1020
137,1128,1018
138,1125,1024
139,1132,1024
140,1138,1029
141,1137,1025
142,1135,1022
143,1132,1026
144,1131,1024
145,1125,1027
146,1125,1023
147,1119,1018
148,1117,1023
149,1114,1020
150,1118,1015
