year,score
1994,9.2
1972,9.1
1974,9.0
2008,9.0
1957,8.9
1993,8.9
2003,8.9
1994,8.8
1966,8.8
2001,8.8
1999,8.8
1994,8.8
2010,8.7
2002,8.7
1980,8.7
1999,8.6
1990,8.6
1975,8.6
1954,8.6
1995,8.6
1997,8.6
2002,8.6
1991,8.6
1946,8.6
1977,8.6
1998,8.6
2001,8.5
1999,8.5
2014,8.5
2019,8.5
1994,8.5
1962,8.5
1995,8.5
1994,8.5
2002,8.5
1985,8.5
1991,8.5
1998,8.5
1936,8.5
1960,8.5
2000,8.5
1931,8.5
2006,8.5
2011,8.5
2014,8.5
1988,8.5
2006,8.5
1968,8.4
1942,8.4
1988,8.4
1954,8.4
1979,8.4
1979,8.4
2020,8.4
2000,8.4
1940,8.4
1981,8.4
2012,8.4
2006,8.4
2019,8.4
1957,8.4
2008,8.4
1980,8.4
2018,8.4
1950,8.4
1957,8.4
2003,8.3
1997,8.3
2018,8.3
1964,8.3
2012,8.3
1984,8.3
1986,8.3
2016,8.3
2017,8.3
2019,8.3
1999,8.3
1995,8.3
1981,8.3
2009,8.3
1995,8.3
2018,8.3
1963,8.3
1984,8.3
2009,8.3
1983,8.3
2007,8.3
1997,8.3
1992,8.3
1968,8.3
2000,8.3
1958,8.3
1931,8.3
2012,8.3
2004,8.3
1941,8.3
2016,8.3
1987,8.2
1948,8.2
1952,8.2
1921,8.2
1959,8.2
2000,8.2
1971,8.2
2019,8.2
1983,8.2
1952,8.2
1985,8.2
1976,8.2
1962,8.2
2010,8.2
2001,8.2
2011,8.2
1973,8.2
2010,8.2
1927,8.2
1965,8.2
1960,8.2
1944,8.2
1962,8.2
2009,8.2
1989,8.2
1995,8.2
1997,8.2
1988,8.2
2018,8.2
1975,8.2
1961,8.2
2005,8.2
1950,8.2
2004,8.2
1997,8.2
1992,8.2
1985,8.2
1959,8.2
2004,8.2
1950,8.2
2001,8.2
1995,8.2
1963,8.2
2013,8.2
2006,8.2
2009,8.1
2007,8.1
1998,8.1
1988,8.1
1980,8.1
1961,8.1
1948,8.1
1954,8.1
2017,8.1
2010,8.1
1925,8.1
1974,8.1
2005,8.1
2007,8.1
2005,8.1
2015,8.1
1957,8.1
1980,8.1
1982,8.1
2011,8.1
1999,8.1
1996,8.1
1993,8.1
2019,8.1
1998,8.1
1939,8.1
2003,8.1
1957,8.1
1979,8.1
1982,8.1
2003,8.1
2003,8.1
1971,8.1
1957,8.1
1996,8.1
2015,8.1
1949,8.1
2008,8.1
2014,8.1
1954,8.1
1953,8.1
1978,8.1
1993,8.1
2009,8.1
2020,8.1
2014,8.1
2014,8.1
1995,8.1
2002,8.1
1978,8.1
2016,8.1
1966,8.1
2018,8.1
2013,8.1
1998,8.1
1924,8.1
1942,8.1
1926,8.1
2010,8.1
2019,8.1
1996,8.1
1975,8.1
2013,8.1
1939,8.1
2015,8.1
2004,8.1
1989,8.1
1976,8.1
1986,8.1
2011,8.1
1959,8.1
1967,8.1
2009,8.1
1986,8.1
2016,8.1
2017,8.0
2007,8.0
1953,8.0
1988,8.0
2013,8.0
1979,8.0
1959,8.0
1995,8.0
1928,8.0
2015,8.0
2004,8.0
2000,8.0
1966,8.0
2012,8.0
1976,8.0
2001,8.0
1984,8.0
1940,8.0
1955,8.0
2006,8.0
2004,8.0
2000,8.0
1984,8.0
2019,8.0
1934,8.0
2016,8.0
2015,8.0
2017,8.0
2011,8.0
1966,8.0
2013,8.0
1997,8.0
1987,8.0
